,c1,c2,resume_skill_text
923,-20.018278,4.990505,classify
924,24.456741,53.49108,719
925,36.80541,41.268475,720
926,25.703962,53.402588,721
927,25.579218,53.590046,722
928,26.668186,53.417572,723
929,-3.5939224,-4.205596,enabled
930,25.02572,52.607475,724
931,35.16284,44.294693,725
932,27.849895,62.268883,726
933,26.797289,42.906017,727
934,26.070704,52.63284,728
935,25.996826,52.55712,729
936,35.837845,40.611965,730
937,25.358858,51.9421,731
938,24.864285,47.80983,732
939,24.964474,50.840294,733
940,36.573734,60.709263,734
941,33.72008,50.39481,735
942,24.81162,47.984188,736
943,27.147055,42.517593,737
944,22.856182,54.656185,738
945,23.403471,54.92535,739
946,36.059002,40.737713,740
947,24.74994,54.39479,741
948,24.813604,55.252254,742
949,24.90724,55.086525,743
950,24.959608,55.02464,744
951,33.656178,46.04223,745
952,25.201832,54.877796,746
953,27.199839,42.479427,747
954,22.007502,57.62156,748
